NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
sate usus,Meal,50 g usus ayam; 10 g bumbu,"Rebus usus sebentar, tusuk, lalu bakar hingga matang",21.27,2.52,1.09,26.0,0.17,0.0,0.0,76.0,24.0
satsumaage (lawson),Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,81.02,11.11,0.64,0.0,7.6,0.1,0.4,540.0,32.0
saus sambal (mcd),Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,10.04,0.0,0.0,0.0,2.0,0.0,2.0,105.0,0.0
saus spageti dengan sayuran (gaya-buatan sendiri),Meal,tomat; sayuran; bumbu,Masak saus dan campur sayur,122.61,3.88,5.43,0.0,18.47,4.5,10.05,367.0,852.0
sausage mcmuffin (mcd),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,400.1,14.0,25.0,50.0,29.0,2.0,3.0,480.0,0.0
sausage mcmuffin with egg (mcd),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,479.92,20.0,31.0,280.0,30.0,2.0,2.0,830.0,150.0
sausage patty (mcd),Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,190.01,7.0,18.0,35.0,1.0,0.0,0.0,280.0,0.0
sausage smoke bratwurst (richeese),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,99.9,9.0,6.0,45.0,3.0,0.0,0.0,480.0,0.0
sausage wrap (mcd),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,299.95,13.0,16.0,165.0,24.0,3.0,2.0,700.0,0.0
sawi gulung,Meal,2 besar telur; 5gramkaldu jamur; 200gramtahu; 250gramsawi hijau; 1/2 tbsp saus tiram,"Rebus lembaran sawi sampai layu, kemudian rebus 1 buah telur, kemudian potong mnjadi 8 bagian, | Hancurkan tahu, | Masukkan telur mentah, saus tiram dan kaldu jamur, | Ambil selembar sawi, masukan adonan tahu dan telur rebus, gulung seperti menggulung risoles, | Lakukan sampai adonan tahu habis, | Kukus kurang lebih 10 menit,",43.5,4.1,2.54,53.0,1.62,0.4,0.82,100.0,125.0
sawi isi ayam udang,Meal,"50gramdada ayam; 5sedangudang; 40gramsawi dimasak (dari segar); sejumput garam; 1 sdt minyak wijen; 10gramwortel; 1 sdt gula pasir; 1,5 g lada putih bubuk; 15 g saus bumbu rasa tiram; 30 ml kecap asin; 7 g sajiku tepung bumbu serbaguna","Kukus sawi hingga lunak, diamkan, | Giling semua bahan (selain sawi) menggunakan chopper, | Lebarkan lembaran sawi, beri adonan hasil gilingan, gulung, | Kukus selama 20 menit,",131.0,12.51,4.94,46.0,9.82,0.7,4.62,2628.0,121.0
sawi tahu,Meal,1 sedang telur; sejumput garam; 1 siung bawang putih; 10 ml air; 1/2 sdt gula pasir; 112gramtahu; 117grampakcoy; 58 g bakso udang,"Rebus bola udang, tahu, pakcoy, Tiriskan, | Urak arik telur dan bawang putih tanpa minyak, | Masukkan semua bahan dlm satu wadah, beri gula garam penyedap sedikit saja, | Beri air sedikit saja, tunggu sebentar, Angkat, Sajikan,",246.05,19.47,11.19,186.0,18.6,1.3,4.26,1525.0,342.0
sawi tumis tauge,Meal,200gramkecambah; 3 sejumput garam; 67gramsawi; 11grambawang putih; 19grambawang merah; 2 g msg; 10 ml minyak goreng sawit,"Potong sawi, cuci bersih kecambah sisihkan, | Iris duo bawang merah dan bawang putih, lalu tumis dengan minyak, | Masukkan sawi tumis dan bumbui hingga matang siap disajikan,",30.46,1.62,1.73,0.0,3.14,1.2,0.82,202.68,66.89
Sawo,Snack,Tidak Tersedia,Tidak Tersedia,83.0,0.4,1.1,0.0,20.0,5.3,14.7,12.0,193.0
sayap ayam dengan kulit panggang atau goreng (kulit/lapisan dimakan),Meal,100 g sayap ayam; 1 sdm minyak,Panggang atau goreng sayap ayam hingga matang,136.95,8.45,9.16,34.0,4.64,0.2,0.1,136.0,63.0
sayap ayam goreng tanpa pelapis (kulit dimakan),Meal,100 g sayap ayam; 1 sdm minyak,Goreng sayap ayam dalam minyak hingga matang dan kulit garing,89.15,7.56,6.33,31.0,0.0,0.0,0.0,120.0,52.0
sayap ayam panggang (kulit dimakan),Meal,100 g sayap ayam; sejumput garam,"Panggang sayap ayam hingga matang, kulit tetap dimakan",86.28,7.99,5.79,25.0,0.0,0.0,0.0,121.0,55.0
sayur asem,Meal,50 g kacang panjang; 50 g labu; 25 g jagung; 20 g asam jawa; 1 sdm garam,Rebus semua sayuran dengan air dan asam jawa hingga matang,79.83,3.18,2.76,3.0,12.9,2.5,4.75,308.0,261.0
sayur bayam bening,Meal,"1 sdm cabai merah atau rawit; 1 iris, tipis bawang; 150grambayam","Bersihkan sayur, | Rebus air sampai mendidih, | Masukkan kembali bayam sampai tidak keras lagi, Menyajikan,",54.97,5.01,1.51,0.0,9.35,4.8,1.57,120.0,957.0
sayur bening bayam,Meal,50 g bayam; 10 g bawang merah; 200 ml air; sejumput garam,"Rebus bawang dalam air, masukkan bayam, masak hingga layu",35.61,1.79,0.37,0.0,7.64,1.4,2.82,162.0,291.0
sayur daun gedi,Meal,50 g daun gedi; 1 sdm minyak; sejumput garam,"Rebus daun gedi hingga matang, tambahkan sedikit minyak dan garam",50.91,3.06,0.88,0.0,10.0,3.9,0.96,36.0,399.0
sayur lodeh,Meal,50 g labu; 50 g kacang panjang; 25 g wortel; 50 ml santan; 1 sdm minyak,Masak semua sayuran dengan santan dan bumbu hingga matang,162.28,6.66,9.47,7.0,14.73,2.5,4.23,489.0,418.0
sayur lumpia,Meal,50 g kol; 50 g wortel; 1 sdm minyak; sejumput garam,Tumis sayuran hingga layu,62.62,1.99,2.84,23.0,7.44,0.6,0.75,207.0,75.0
sayur nangka muda,Meal,100 g nangka muda; 1 sdm minyak; sejumput garam,Masak nangka muda dengan bumbu hingga empuk,56.88,2.0,0.4,0.0,11.3,8.3,0.0,559.0,0.0
sayur pokcoy tahu telur,Meal,"1 besar telur; 1 sdm minyak kelapa; sejumput garam; 2 siung bawang putih; 1/4gelasair; 2 sedang bawang merah; 100gramtahu; 100grampakcoy; 3 g lada putih bubuk; 1,5 g kaldu rasa jamur","Di atas wajan, tambahkan minyak kelapa, tumis bawang merah dan bawang putih hingga kecoklatan, | Masukkan telur, diorak arik lalu masukkan tahu, aduk aduk selama 5 menit lalu masukkan air putih, Diamkan hingga tahu matang, | Masukkan pakcoy, garam, lada bubuk dan kaldu jamur lalu di aduk aduk hingga pakcoy agak layu dan bumbu tercampur rata, | Siap disajikan,",194.6,8.65,11.9,106.0,15.36,2.2,5.7,1391.0,322.0
"sayur sup (kalengan, terkondensasi)",Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,145.08,4.23,3.89,0.0,24.06,1.2,7.7,1653.0,421.0
sayur tahu toge,Meal,50 g tahu; 50 g toge; 1 sdm minyak; sejumput garam,"Rebus atau tumis ringan tahu dan toge, tambahkan sedikit minyak dan garam",86.28,5.93,1.93,0.0,12.91,4.0,2.79,256.0,224.0
sayur toge,Meal,100 g toge; 1 sdm minyak; 1/4 sdt bawang,Tumis atau rebus toge dengan bawang hingga matang,114.01,3.4,0.0,0.0,0.0,0.0,0.0,559.0,0.0
sayur tumis sawi telur,Meal,1 sedang telur; 2 sdt cabai merah atau rawit; 1kecilwortel; 1 siung bawang putih; 1/2utuh sedangtomat merah; 80gramsawi putih; 2 kecil bawang merah; 1 sendok makan minyak goreng,"Iris bawang, cabai, tomat, sawi, wortel, | Panaskan minyak, | Tumis bawang, cabai, | Masukkan wortel dan tomat, | Tumis hingga empuk, tambahkan bumbu sesuai selera, | Masukkan sawi, | Tambahkan sedikit air, Masak sampai matang,",130.02,4.66,7.25,93.0,13.25,2.6,5.31,57.0,361.0
sayur umbut kelapa,Meal,100 g umbut kelapa; 1 sdm minyak; sejumput garam,Masak umbut kelapa hingga empuk,66.92,5.57,2.89,44.0,5.18,1.4,1.08,317.0,147.0
"sayuran campur (jagung, kacang lima, kacang polong, kacang hijau, wortel) (tanpa tambahan garam, kaleng)",Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,67.4,2.55,0.36,0.0,13.3,5.6,4.46,47.0,251.0
"sayuran campur (kering padatan, kaleng)",Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,79.83,4.22,0.41,0.0,15.09,4.9,3.99,243.0,474.0
"sayuran campur (padat dan cair, kaleng)",Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,88.19,3.48,0.61,0.0,17.44,9.3,0.0,549.0,338.0
"sayuran campur matang (jagung, kacang lima, kacang polong, kacang hijau dan wortel)",Meal,100 g sayuran campur,Rebus hingga matang,81.02,2.78,2.12,0.0,12.74,4.3,3.06,249.0,164.0
scrambled eggs (mcd),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,140.06,13.0,9.0,425.0,1.0,0.0,0.0,120.0,0.0
seafood platter,Meal,50 g ikan; 50 g udang; 50 g kerang; 1 sdm minyak,Masak semua seafood hingga matang,90.11,4.0,2.5,0.0,14.0,0.0,2.0,250.0,0.0
seaweed crunchy bites (spicy) (lawson),Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,30.11,0.0,2.0,0.0,2.0,0.0,0.0,30.0,0.0
seblak mie shirataki,Meal,50 g mie shirataki; 20 g bumbu seblak; 100 ml air,"Rebus mie shirataki, campur dengan bumbu seblak hingga meresap",114.01,7.13,5.38,212.0,11.65,5.0,1.51,2400.0,184.0
sejati mie goreng rasa ayam panggang kecap,Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,419.93,8.0,18.0,0.0,57.0,3.0,7.0,970.0,0.0
selat solo,Meal,50 g daging sapi; 50 g sayuran; 20 ml saus,"Rebus daging, campur sayuran dan saus, sajikan",343.93,31.56,12.35,148.0,26.61,4.9,5.75,564.0,697.0
Semangka,Snack,Tidak Tersedia,Tidak Tersedia,30.0,0.6,0.2,0.0,7.6,0.4,6.2,1.0,112.0
Semangka Kuning (Honeydew),Snack,Tidak Tersedia,Tidak Tersedia,36.0,0.5,0.1,0.0,9.1,0.8,8.1,18.0,228.0
semar mendem,Snack,50 g nasi; 50 g ayam; 1 lembar daun pisang,Kukus nasi berisi ayam dalam daun pisang hingga matang,180.93,10.73,9.12,110.0,14.2,0.6,0.18,152.0,210.0
semur ayam,Meal,100 g ayam; 1 sdm kecap manis; 1 sdm minyak,Masak ayam dengan kecap dan bumbu hingga matang,414.91,47.35,15.98,115.0,18.4,1.1,9.12,536.0,715.0
semur daging,Meal,100 g daging sapi; 1 sdm kecap manis; 1 sdm minyak,Masak daging hingga empuk dengan kecap,140.54,12.7,8.0,40.0,4.34,0.7,1.63,370.0,269.0
semur jengkol,Meal,50 g jengkol; 1 sdm kecap manis; 1 sdm minyak,Masak jengkol dengan kecap dan bumbu hingga matang,212.0,6.0,10.0,0.0,29.1,1.5,0.0,60.0,0.0
Semur Tahu,Meal,tahu 100 g; kecap manis  20 ml; bawang putih; bawang merah; garam,Goreng tahu sebentar; tumis bumbu; masukkan tahu dan kecap manis; tambahkan air; masak hingga bumbu meresap,100.0,7.0,5.0,0.0,8.0,0.5,3.0,285.0,150.0
semur telur,Meal,2 butir telur; 1 sdm kecap manis,Masak telur dalam kecap hingga matang,130.26,9.7,7.81,287.0,5.27,0.8,2.3,417.0,181.0
sesame toowoomba pasta,Meal,1 siung bawang putih dimasak; 20grambawang bombay dimasak; 60 g shin ramyun; 200 ml susu uht full cream (250ml); 3 sdm roasted sesame dressing; 10 g smoked beef,"Rebus Shin Ramyun atau mi instan lainnya hingga setengah matang, | Tumis bawang putih yang sudah dicincang halus hingga harum, | Masukkan daging lembu salai (secukup rasa) dan tumis dengan bawang, | Masukkan 200ml susu UHT ke tumisan, | Jika susu mulai mendidih masukan bumbu mi instan dan 3 sdm sesame dressing, | Masukan mie dan tunggu hingga susu agak meresap, | Jika susu mulai mengental, matikan api dan Sesame Toowoomba Pasta sudah siap disajikan,",587.84,11.83,30.61,14.0,57.91,0.4,8.8,1689.0,361.0
setup roti gandum,Snack,30gramkismis; 1 besar putih telur; 5gramkacang almond panggang kering (tanpa tambahan garam); 250 ml susu uht full cream (250ml); 6 g sweetener diabtx; 350 g roti gandum,"Campur putih telur dengan gula lalu kocok, | Campurkan 250ml susu UHT/Low Fat lalu aduk, | Potong roti gandum sesuai selera lalu masukan kedalam adonan basah lalu aduk dengan rata, | Tuangkan 1/2 adonan kedalam cetakan taburkan kismis sesuai selera, | Tuangkan sisa adonan ratakan lalu taburkan kismis & kacang Almond sesuai selera, | Kukus 20 menit atau sampai adonan padat (tusuk dengan tusuk gigi untuk test kepadatan),",183.09,10.4,6.58,4.0,49.99,7.9,7.06,387.0,179.0
shakshuka,Meal,2 besar telur; 1 siung bawang putih; 2besar utuhtomat merah; 1 sdm saus tomat; 100grambawang bombay; 50gramjamur kancing,"Kupas kulit tomat, lalu di cincang/blender, Cincang bawang putih dan bawang bombay, dan jamur champignon, | Tumis bawang bombay dan bawang putih hingga layu, tambahkan jamur tumis lagi hingga jamur berubah warna, masukkan pure tomat, saos tomat dan air, Tambahkan Garam, lada, dan bumbu pilihan lainnya, | Tambahkan telur, tutup pan hingga telur matang, | Makanan siap dihidangkan,",283.04,18.65,11.0,423.0,31.06,6.3,18.69,331.0,1362.0
shirataki tomato soup,Meal,"2 chicken nugget; 1 sedang telur; 1 mangkok, segar sawi dimasak (dari segar); 200gramtomat; sejumput garam; 1 sdm saus teriyaki; 50grambuncis; 50gramwortel; 5 siung bawang putih; 5 iris daun bawang; 3gelasair; 1/2 sdm minyak goreng; 1 sdm kecap manis; 100 g mie basah matang; 2 g royco ayam","Panaskan minyak ½ sendok masukkan nugget yg dipotong dadu, | Masukkan batang sawi, wortel dan buncis tambahkan air 250ml, | Sisihkan tumisan ke pinggir wajan lalu masukkan telur, beri garam dan orak arik  bersama sayur, | Masukkan irisan tomat, sawi, tambahkan air 500ml masukkan mie shirataki, | Tambahkan royko/kaldu ayam, garam, irisan cabe, saus teriyaki dan kecap, | Diamkan hingga mendidih, | Ready to serving,",162.75,6.29,6.37,68.0,21.74,6.1,8.68,1550.0,395.0
shoyu (indomie),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,359.94,6.0,14.0,0.0,55.0,2.0,3.0,1100.0,0.0
shrimp crackers,Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,140.06,2.0,7.0,0.0,18.0,1.0,1.0,150.0,0.0
shrimp creamy tom yum flavour,Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,229.92,4.0,9.0,0.0,33.0,1.0,5.0,1050.0,540.0
shrimp dumpling,Snack,50 g udang; 20 g kulit dumpling,Kukus dumpling hingga matang,39.91,4.0,0.5,0.0,6.0,0.0,0.0,420.0,0.0
shrimp hakau,Snack,50 g udang; 20 g kulit hakau,Kukus hakau hingga matang,119.98,5.0,3.0,0.0,17.0,0.0,0.0,230.0,0.0
shrimp shumai,Snack,50 g udang; 20 g kulit siomay,Kukus shumai hingga matang,130.02,8.0,3.5,0.0,16.0,0.0,0.0,380.0,0.0
shrimp wonton soup,Meal,50 g udang; 20 g wonton; 200 ml kaldu,Rebus wonton dalam kaldu hingga matang,219.89,7.0,5.0,0.0,36.0,0.0,0.0,720.0,0.0
shumai,Snack,50 g daging; 20 g kulit siomay,Kukus siomay hingga matang,70.03,3.0,2.0,0.0,11.0,0.0,0.0,190.0,0.0
singkong goreng,Snack,100 g singkong; 1 sdm minyak,Goreng singkong hingga matang,40.39,0.28,1.58,0.0,6.37,0.3,0.27,56.0,43.0
siomay ayam sayur,Meal,50 g ayam; 50 g sayur; 20 g kulit siomay,Kukus siomay ayam sayur hingga matang,169.93,8.0,5.0,0.0,22.0,3.0,0.0,710.0,0.0
siomay udang,Meal,50 g udang; 20 g kulit siomay,Kukus siomay udang hingga matang,99.9,7.0,3.5,40.0,10.0,0.0,3.0,430.0,0.0
Sirsak,Snack,Tidak Tersedia,Tidak Tersedia,66.0,1.0,0.3,0.0,16.8,3.3,13.5,14.0,278.0
skinny dip juice,Snack,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,66.92,0.0,0.0,0.0,16.0,0.0,0.0,300.0,0.0
smoothie buah (dibuat dengan buah atau jus buah saja),Snack,100 g buah; 100 ml jus,Blender hingga halus,130.26,0.88,0.29,0.0,33.52,2.1,27.55,4.0,336.0
smoothie buah naga,Snack,20gramnanas; 4gramkacang almond panggang kering (tanpa tambahan garam); 30grambuah naga; 30 g pisang single; 15 g oatmeal; 50 ml almond breeze almond milk original; 8 g chia seed,"Bekukan semua buah buahan, | Blender dengan susu dan oatmeal, | Taburi dengan topping yang disukai seperti chia, almond, dll, dan sajikan,",137.86,3.43,5.5,0.0,20.28,5.1,6.94,33.0,153.0
smoothie buah naga dan pisang,Snack,2sedangpisang; 130 ml yakult; 20 g cinnamon & raisin; 70 g squeeze yogurt peach; 1 mangkok buah naga,"Potong pisang dan buah naga, | Masukkan kesemuanya ke dalam pengisar dan kisar sehingga sebati, | Tempatkan dalam mangkuk dan hiasi dengan granola dan buah sesuai keinginan, Nikmati sarapan Anda,",280.21,4.98,3.48,0.0,60.4,5.6,38.44,36.0,642.0
smoothies berry,Snack,100grammangga; 100gramstroberi; 1/2 buah naga; 200 ml skimmed milk (200ml); 20 g granola creations cinnamon & raisin,"Masukkan semua bahan, kecuali granola dan blend, | Tuang ke mangkuk, Tambahkan granola,",136.05,5.28,2.13,0.0,26.9,3.3,18.11,42.0,322.0
sohun goreng,Meal,100gramdada ayam; 120gramtomat; 240gramkecambah; 80gramsawi; 110grammentimun (dengan kulit); 18grambawang putih; 50gramsohun; 60gramtempe; 40grambawang merah; 1 sdm minyak goreng; 10 g bumbu racik nasi goreng,"Rendam sohun dngn air panas 5 menit kemudian tiriskan, | Iris bawang merah dan bawang putih, Kemudian potong dadu dada ayam dan tempe, | Tumis bawang merah dan bawang putih sebentar, Kemudian masukkan dada ayam dan tempe, | Masukkan toge dan sawi aduk2, Jngan lupa bumbu nasi goreng instannya ya
Terakhir masukkan sohun nya tumis hingga matang, | Sajikan dengan irisan mentimun dan tomat,",391.49,27.31,13.1,42.0,44.58,5.7,7.84,912.0,732.0
sop,Meal,"2 1/2 ons, tanpa tulang dada ayam rebus; 1porsiudang kukus atau rebus; 51grambrokoli dimasak (dari segar); 17gramcabai merah atau rawit; sejumput garam; 36gramkulit ayam; 130gramwortel; 15grambawang putih; 93gramtomat merah; 2 sdt gula pasir; 15grambawang merah; 22 g jamur enoki; 10 g bumbu racik sayur sop; 20 g kaldu jamur; 6 ml minyak goreng","Tumis bawang merah, bawang putih, cabai (optional kalau ingin pedas) menggunakan minyak hingga wangi, | Masukkan air kedalam tumisan tadi, biarkan sampai air mendidih, | Masukan ayam, udang, dan sayur-sayuran kedalam air, | Tambahkan garam, gula, dan kaldu, racik sayur sop sesuai selera lalu tunggu hingga matang,",353.01,28.6,14.89,122.0,26.47,6.0,11.2,566.0,757.0
sop buntut,Meal,100 g ekor sapi; 50 g sayur,Rebus hingga empuk,27.96,1.11,1.01,1.0,3.54,0.2,0.98,478.0,33.0
sop sayur,Meal,"5gramkaldu jamur; 1 sejumput garam; 50grambuncis; 100grambrokoli; 1/2 kepala, kecil kubis; 1kecilwortel; 1/2untaiseledri; 1/2 siung bawang putih; 1/2 daun bawang; 1 sdm minyak goreng; 1,25 g bumbu racik sayur sop; 50gramkentang rebus","Tumis bawang putih hingga harum dan berubah warna, kemudian tambah air hingga mendidih, | Setelah mendidih, masukkan sayuran dimulai dari yg keras seperti wortel, buncis, kentanh, | Tambahkan bumbu racik, garam dan kaldu jamur, | Koreksi rasa, Siap dihidangkan,",321.46,11.34,11.17,0.0,52.12,15.6,19.96,598.0,1740.0
sop tulang iga sapi,Meal,"100gramtomat; 100gramwortel; 100gramiga sapi (potongan kecil, diiris hingga 0,3 cm lemak)","Rebus daging sapi dengan air secukupnya selama 30 menit, | Tambahkan irisan sayuran dan isi air sesuai kebutuhan, | Bumbui sesuai selera dan masak hingga empuk, | Sajikan dalam mangkuk dan hiasi sesuai keinginan,",52.18,3.52,3.25,11.67,2.25,0.67,1.19,20.67,142.0
sosis bakar,Snack,100 g sosis,Bakar hingga matang,140.06,12.0,2.0,0.0,19.0,0.0,19.0,1100.0,0.0
sosis salmon,Snack,50 g salmon; 1 sdm bumbu,Masak sosis salmon hingga matang,99.9,7.0,3.0,15.0,12.0,0.0,5.0,190.0,0.0
sosis solo,Snack,50 g daging ayam; 1 butir telur,Kukus lalu goreng sosis,70.27,3.83,3.58,68.0,5.57,0.2,0.83,40.0,52.0
sosis solo kukus,Snack,50 g daging ayam; 1 butir telur,Kukus sosis hingga matang,87.72,5.06,3.72,87.0,8.26,0.4,1.07,52.0,68.0
soto ayam,Meal,178gramdada ayam rebus (kulit tidak dimakan); 200gramkecambah; 2gramketumbar; 2 sdt kunyit; sejumput garam; 100gramselada kol; 3 siung bawang putih; 1 sdt jahe; 1 mangkok daun bawang; 2gramsereh; 2gramkacang kemiri; 2 kecil bawang merah; 500 g mie basah matang; 1 sdm kecap manis; 2 g royco ayam; 3 g lada putih bubuk,"Haluskan bawmer, bawput, jahe, kemiri, kunyit dan geprek laos dan sereh, | Tumis bumbu halus tadi bersama dgn laos dan sereh yg sudah di geprek dan tambah duan salam dan daun jeruk, | Setelah matang, masukan air dan air sisa rebusan ayam, | Rebus ayam , tauge, mie shirataki
Secara terpisah, | Setelah air mendidih , masukan bumbu spt garam, lada bubuk, royko dan kecap manis 1sdm
Setelah di rasa pas, matikan api kompor, | Siapkan ayam suir, tauge, kol di iris , jeruk nipis , dan mi shirataki nya, | Kalo mau pake sambel, tinggal haluskan rawit dan juga air kuah sotonya, | Selesai,",121.42,10.64,1.91,24.0,16.25,5.2,4.27,658.0,213.0
soto ayam kudus,Meal,50 g ayam; 10 g bumbu soto,Rebus ayam dan sajikan dengan kuah,182.36,13.27,11.18,140.0,7.73,1.3,1.29,411.0,311.0
soto bandung,Meal,50 g daging sapi; 25 g lobak,Rebus dengan bumbu hingga matang,42.54,4.48,1.71,10.0,2.51,0.7,0.49,132.0,153.0
soto banjar,Meal,50 g ayam; 10 g bumbu banjar,Rebus ayam hingga matang,100.14,4.66,6.71,49.0,5.29,0.3,0.16,82.0,83.0
soto banjar (indomie),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,309.99,7.0,13.0,0.0,43.0,2.0,3.0,1020.0,0.0
soto banjar limau kuit,Meal,50 g ayam; 10 g bumbu; 1/2 buah jeruk,Rebus ayam dengan bumbu hingga matang,340.11,7.0,14.0,0.0,45.0,8.0,4.0,1050.0,0.0
soto banjar limau kuit (indomie),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,340.11,7.0,14.0,0.0,45.0,8.0,4.0,1050.0,0.0
soto betawi,Meal,50 g daging sapi; 50 ml santan,Rebus daging dengan santan dan bumbu hingga matang,134.56,4.05,8.85,7.0,11.44,1.3,1.43,194.0,272.0
soto daging,Meal,100 g daging sapi; 10 g bumbu soto,Rebus daging hingga empuk,218.69,18.25,11.51,47.0,10.77,1.1,1.02,366.0,454.0
soto koya nagih (indomie),Meal,tidak tersedia / processed food / processed food,tidak tersedia / processed food / processed food,349.9,8.0,15.0,0.0,46.0,3.0,3.0,1320.0,0.0
soto kudus,Meal,50 g ayam; 10 g bumbu soto,Rebus ayam hingga matang,182.36,13.27,11.18,140.0,7.73,1.3,1.29,411.0,311.0
soto mie,Meal,50 g daging; 50 g mie; 10 g bumbu,Rebus dan sajikan,369.5,21.05,13.75,122.0,39.75,3.0,1.56,495.0,341.0
soto padang (indomie),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, umumnya indomie rasa soto Padang diseduh dengan air panas sesuai petunjuk",330.07,8.0,14.0,0.0,44.0,6.0,0.0,1120.0,0.0
soto spesial (indomie),Meal,tidak tersedia / processed food / processed food,"Tak tersedia, biasanya indomie soto spesial diseduh dengan air panas sesuai petunjuk",330.07,7.0,14.0,0.0,44.0,5.0,2.0,920.0,0.0
sotong tahu bulat,Snack,100 g cumi; 50 g tahu,"Masak cumi dan tahu bersama bumbu, tumis sebentar lalu rebus hingga matang",346.08,4.55,14.02,35.0,50.72,0.8,1.92,415.0,80.0
Sotong Tahu Bulat,Snack,cumi 120 g; tahu 120 g,Masak cumi 120 g dengan tahu 120 g hingga matang,1448.0,4.55,14.02,35.0,50.72,0.8,1.92,415.0,80.0
souffle bayam,Meal,50 g bayam; 2 butir telur; 50 ml susu,"Panggang adonan telur, bayam, dan susu hingga mengembang dan matang",232.55,10.76,17.61,160.0,7.92,1.0,2.52,770.0,318.0
spageti dengan saus tomat dan sayuran,Meal,50 g spageti; 50 g tomat; 50 g sayur,"Rebus spageti hingga al dente, tumis sayur dan tomat untuk saus, campur spageti dan saus",250.48,8.83,3.92,0.0,45.83,4.5,5.9,193.0,498.0
spaghetti,Meal,115gramudang; 142gramjamur dimasak (lemak ditambahkan dalam masakan); 3gramkaldu jamur; 2gramcabai merah atau rawit; 100gramwortel; 3grambawang putih; 2gelasair; 2 sejumput garam laut; 20 g quick melt keju; 15 ml minyak goreng tropical; 60 g spaghetti gluten free; 30grambawang bombay,"Siapkan bahan bawang puith,bombai dan cabe rawit, Cuci bersih lalu di chop, | Rebus spagheti tambahkan sejumput garam dan sedikit minyak, Rebus spagheti hingga aldente kira-kira 8 menit, | Bersihkan udang hingga bersih dan tdk amis lagi, | Iris wortel berbentuk korek api dan bersihkan jamur, | Tumis semua bahan bawang putih, bombai dan rawit lalu masukkan udang, tumis hingga setengah matang lalu masukkan wortel dan setelah itu jamur, | Tambahkan air rebusan spagheti lalu di tumis dan masukkan spagheti tadi, | Masak sebentar lalu tambahkan keju yang sudah diparut, | Siap disajikan,",693.03,44.5,26.37,237.0,71.94,7.5,10.89,1751.0,1104.0
spaghetti aglio olio bandeng tanpa minyak,Meal,"1 sdm cabai merah atau rawit; sejumput garam; 30grambrokoli; 1utuh sedangtomat merah; 100gramikan bandeng; 1 kecil bawang merah; 60 g spaghetti; 40grambawang bombay; 1,5 g kaldu rasa jamur","Rebus spaghetti wholemeal selama 10 menit, | Haluskan tomat dan bawang merah bisa di uleg atau di blender beri sedikit air, | Panaskan telflon anti lengket, masukan bawang bombai sangrai sampai harum (tanpa minyak), | Setelah itu masukan bumbu yg sudah di haluskan, | Tambahkan bandeng suwir, irisan cabai, brokoli, garam, dan kaldu jamur, | Kemudian masukan spaghetti wholemeal yg sudah di rebus dan beri sedikit seledri, aduk sampai rata,",461.94,31.09,9.1,52.0,65.74,7.2,8.92,2783.0,942.0
spaghetti gandum dengan saus tomat,Meal,1 besar telur; 50gramspageti gandum; 100gramsaus spageti tanpa daging; 1 siung bawang putih; 1gelasair; 1 kecil bawang merah; 20 ml susu uht low fat,"Rebus air hingga mendidih beri sedikit garam, Masak spaghetti gandum dan tiriskan dalam saringan, | Tumis bawang bombay di atas granite teflon, tambahkan saus spageti tomat dan aduk rata, | Tambahkan spageti dan aduk, Tambahkan air sedikit demi sedikit, | Tambahkan telur dan susu rendah lemak dan aduk sampai sedikit mengental, | Pindahkan ke piring dan sajikan dengan mentimun, opsional,",252.15,12.42,7.95,213.0,34.01,3.8,12.69,686.0,613.0
spicy cheese dumpling,Snack,30 g keju; 20 g kulit dumpling,Kukus atau goreng dumpling hingga matang,179.97,10.0,10.0,10.0,13.0,1.0,0.0,720.0,0.0
